weight,length
1.175,111.5
1.175,111.5
1.175,111.5
1.175,111.5
1.175,111.5
1.175,111.5
1.175,111.5
1.175,111.5
1.175,111.5
1.175,111.5
1.175,111.5
1.175,111.5
2.775,111.5
4.375,111.5
1.175,127.5
1.175,127.5
1.175,127.5
1.175,127.5
1.175,127.5
1.175,127.5
1.175,127.5
1.175,127.5
1.175,127.5
1.175,127.5
1.175,127.5
1.175,127.5
1.175,127.5
1.175,127.5
1.175,127.5
1.175,127.5
1.175,127.5
1.175,127.5
1.175,127.5
1.175,127.5
1.175,127.5
1.175,127.5
1.175,127.5
1.175,127.5
1.175,127.5
2.775,127.5
2.775,127.5
2.775,127.5
2.775,127.5
1.175,143.5
1.175,143.5
1.175,143.5
1.175,143.5
1.175,143.5
1.175,143.5
1.175,143.5
1.175,143.5
1.175,143.5
1.175,143.5
1.175,143.5
1.175,143.5
1.175,143.5
1.175,143.5
1.175,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
2.775,143.5
4.375,143.5
4.375,143.5
4.375,143.5
4.375,143.5
1.175,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
2.775,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
4.375,159.5
5.975,159.5
5.975,159.5
7.575,159.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
2.775,175.5
4.375,175.5
4.375,175.5
4.375,175.5
4.375,175.5
4.375,175.5
4.375,175.5
4.375,175.5
4.375,175.5
4.375,175.5
4.375,175.5
4.375,175.5
4.375,175.5
4.375,175.5
4.375,175.5
4.375,175.5
4.375,175.5
4.375,175.5
4.375,175.5
4.375,175.5
4.375,175.5
4.375,175.5
4.375,175.5
4.375,175.5
4.375,175.5
4.375,175.5
4.375,175.5
4.375,175.5
4.375,175.5
4.375,175.5
4.375,175.5
4.375,175.5
4.375,175.5
4.375,175.5
4.375,175.5
4.375,175.5
5.975,175.5
5.975,175.5
5.975,175.5
5.975,175.5
5.975,175.5
5.975,175.5
5.975,175.5
5.975,175.5
5.975,175.5
5.975,175.5
5.975,175.5
5.975,175.5
5.975,175.5
5.975,175.5
5.975,175.5
5.975,175.5
5.975,175.5
5.975,175.5
5.975,175.5
5.975,175.5
7.575,175.5
9.175,175.5
9.175,175.5
9.175,175.5
9.175,175.5
2.775,191.5
2.775,191.5
2.775,191.5
4.375,191.5
4.375,191.5
4.375,191.5
4.375,191.5
4.375,191.5
4.375,191.5
4.375,191.5
4.375,191.5
4.375,191.5
4.375,191.5
4.375,191.5
4.375,191.5
4.375,191.5
4.375,191.5
5.975,191.5
5.975,191.5
5.975,191.5
5.975,191.5
5.975,191.5
5.975,191.5
5.975,191.5
5.975,191.5
5.975,191.5
5.975,191.5
5.975,191.5
5.975,191.5
5.975,191.5
5.975,191.5
5.975,191.5
5.975,191.5
5.975,191.5
5.975,191.5
9.175,191.5
9.175,191.5
9.175,191.5
9.175,191.5
9.175,191.5
9.175,191.5
9.175,191.5
9.175,191.5
7.575,191.5
7.575,191.5
7.575,191.5
7.575,191.5
7.575,191.5
7.575,191.5
7.575,191.5
7.575,191.5
7.575,191.5
7.575,191.5
7.575,191.5
7.575,191.5
7.575,191.5
7.575,191.5
10.775,191.5
10.775,191.5
10.775,191.5
4.375,207.5
4.375,207.5
5.975,207.5
7.575,207.5
7.575,207.5
7.575,207.5
7.575,207.5
7.575,207.5
9.175,207.5
9.175,207.5
10.775,207.5
10.775,207.5
12.375,207.5
12.375,207.5
12.375,207.5